game_date,pts,rolling_5game_avg
1971-10-15,132.0,132.0
1971-10-16,119.0,125.5
1971-10-19,123.0,124.66666666666667
1971-10-20,126.0,125.0
1971-10-22,106.0,121.2
1971-10-24,113.0,117.4
1971-10-29,119.0,117.4
1971-10-30,106.0,114.0
1971-10-31,105.0,109.8
1971-11-05,110.0,110.6
1971-11-06,105.0,109.0
1971-11-07,103.0,105.8
1971-11-09,122.0,109.0
1971-11-10,143.0,116.6
1971-11-12,115.0,117.6
1971-11-13,130.0,122.6
1971-11-14,128.0,127.6
1971-11-16,108.0,124.8
1971-11-19,106.0,117.4
1971-11-21,112.0,116.8
1971-11-25,139.0,118.6
1971-11-26,132.0,119.4
1971-11-28,138.0,125.4
1971-12-01,124.0,129.0
1971-12-03,131.0,132.8
1971-12-05,123.0,129.6
1971-12-08,125.0,128.2
1971-12-09,124.0,125.4
1971-12-10,126.0,125.8
1971-12-12,104.0,120.4
1971-12-14,129.0,121.6
1971-12-17,129.0,122.4
1971-12-18,132.0,124.0
1971-12-19,154.0,129.6
1971-12-21,117.0,132.2
1971-12-22,127.0,131.8
1971-12-26,137.0,133.4
1971-12-28,105.0,128.0
1971-12-30,122.0,121.6
1972-01-02,122.0,122.6
1972-01-05,113.0,119.8
1972-01-07,134.0,119.2
1972-01-09,104.0,119.0
1972-01-11,123.0,119.2
1972-01-12,107.0,116.2
1972-01-14,135.0,120.6
1972-01-21,101.0,114.0
1972-01-22,102.0,113.6
1972-01-25,129.0,114.8
1972-01-28,118.0,117.0
1972-01-30,153.0,120.6
1972-02-04,118.0,124.0
1972-02-05,108.0,125.2
1972-02-06,151.0,129.6
1972-02-08,107.0,127.4
1972-02-09,117.0,120.2
1972-02-11,108.0,118.2
1972-02-13,121.0,120.8
1972-02-15,125.0,115.6
1972-02-16,109.0,116.0
1972-02-18,125.0,117.6
1972-02-19,115.0,119.0
1972-02-20,132.0,121.2
1972-02-22,134.0,123.0
1972-02-23,110.0,123.2
1972-02-25,109.0,120.0
1972-02-27,123.0,121.6
1972-02-29,114.0,118.0
1972-03-01,109.0,113.0
1972-03-03,114.0,113.8
1972-03-05,94.0,110.8
1972-03-07,114.0,109.0
1972-03-10,132.0,112.6
1972-03-12,141.0,119.0
1972-03-14,129.0,122.0
1972-03-15,121.0,127.4
1972-03-17,123.0,129.2
1972-03-19,162.0,135.2
1972-03-21,109.0,128.8
1972-03-22,120.0,127.0
1972-03-24,112.0,125.2
1972-03-26,124.0,125.4
1972-03-28,95.0,112.0
1972-03-30,131.0,116.4
1972-04-02,108.0,114.0
1972-04-04,108.0,113.2
1972-04-09,72.0,102.8
1972-04-12,135.0,110.8
1972-04-14,108.0,106.2
1972-04-16,88.0,102.2
1972-04-18,115.0,103.6
1972-04-22,104.0,110.0
1972-04-26,92.0,101.4
1972-04-30,106.0,101.0
1972-05-03,107.0,104.8
1972-05-05,116.0,105.0
1972-05-07,114.0,107.0
