franchise_name,home_win_pct,away_win_pct,advantage_gap,total_games
Atlanta Hawks,64.8,34.9,29.9,5289
Denver Nuggets,64.1,34.7,29.39999999999999,3623
Sacramento Kings,59.8,31.7,28.099999999999998,5356
Utah Jazz,68.8,40.9,27.9,3704
Golden State Warriors,61.1,34.1,27.0,5453
Detroit Pistons,61.2,34.6,26.6,5350
Portland Trail Blazers,66.8,40.7,26.099999999999994,3952
Indiana Pacers,62.2,37.0,25.200000000000003,3623
Cleveland Cavaliers,59.2,34.7,24.5,3943
Boston Celtics,70.9,46.6,24.300000000000004,5465
